model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
partial_classifier_chain_with_lop-num_generations=25,yeast,0.2424,0.0251,-0.21,0.0089,0.4232,0.0209
partial_classifier_chain_with_lop-num_generations=25,enron,0.0394,0.0248,-0.0646,0.0088,0.0642,0.0195
partial_classifier_chain_with_lop-num_generations=25,genbase,0.944,0.0353,-0.0029,0.0019,0.5195,0.1065
partial_classifier_chain_with_lop-num_generations=25,medical,0.492,0.0708,-0.0167,0.003,0.1698,0.0237
partial_classifier_chain_with_lop-num_generations=25,tmc2007_500,0.2686,0.0481,-0.0653,0.0085,0.4256,0.0653
partial_classifier_chain_with_lop-num_generations=50,birds,0.5056,0.0666,-0.0472,0.0075,0.2832,0.064
partial_classifier_chain_with_lop-num_generations=50,emotions,0.3186,0.0496,-0.217,0.0247,0.6317,0.0312
partial_classifier_chain_with_lop-num_generations=50,scene,0.5427,0.1391,-0.1409,0.0502,0.2735,0.0423
partial_classifier_chain_with_lop-num_generations=50,yeast,0.2396,0.0247,-0.2098,0.0071,0.4237,0.0188
partial_classifier_chain_with_lop-num_generations=50,enron,0.0394,0.0212,-0.0647,0.0094,0.0648,0.0197
partial_classifier_chain_with_lop-num_generations=50,genbase,0.944,0.0353,-0.0028,0.0018,0.5206,0.1065
partial_classifier_chain_with_lop-num_generations=50,medical,0.4868,0.0557,-0.0167,0.0025,0.1708,0.0219
partial_classifier_chain_with_lop-num_generations=50,tmc2007_500,0.2685,0.0466,-0.0653,0.0082,0.4257,0.0646
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,birds,0.5273,0.0691,-0.04,0.0055,0.1991,0.0465
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,emotions,0.322,0.0398,-0.1875,0.0136,0.6384,0.0404
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,scene,0.4561,0.2128,-0.1163,0.0492,0.2844,0.0991
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,yeast,0.2304,0.0144,-0.1903,0.0073,0.3783,0.0127
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,enron,0.0956,0.1232,-0.0475,0.0097,0.0936,0.0162
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,genbase,0.9697,0.0271,-0.0012,0.001,0.5542,0.1196
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,medical,0.5584,0.0576,-0.0127,0.002,0.2203,0.0169
partial_classifier_chain_with_lop-num_generations=10-threshold=0.001,tmc2007_500,0.6444,0.3046,-0.0308,0.0263,0.7195,0.2526
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,birds,0.5257,0.0651,-0.0402,0.0051,0.1986,0.0472
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,emotions,0.332,0.0482,-0.1827,0.0173,0.6458,0.0404
